,Total,Level 1,Level 2,Level 3,Level 4,Level 5
buffer,1306,440,754,21,89,2
format,46,0,0,0,46,0
integer,33,0,33,0,0,0
misc,56,0,51,3,2,0
race,5,0,0,0,3,2
random,9,0,0,9,0,0
shell,20,0,0,2,18,0
Sums,1475,440,838,35,158,4
